Datums_Laiks;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
28.02.2021;2.5;2.3;2.6;2.2;2.3;2.5;2.4;2.2;2.6;2.7;2.9;3.2;3.5;3.7;4;4;3.9;3.8;3.1;2.9;3.4;2.8;2.3;2.7
01.03.2021;1.8;1.6;2;2.3;2.1;2.3;2.9;2.8;3;3;3.6;4.2;5;4.7;2.8;3.2;4;3.4;2.8;2.4;2.4;2.5;2.6;2.5
02.03.2021;2.7;2.5;2.5;2.6;2.9;3;3.2;2.9;2.6;2.8;3.3;3.6;3.5;3.8;4.6;4.1;3.3;3.1;2.8;2.6;2.4;2.5;2;2
03.03.2021;1.8;1.7;0.7;1.4;1.3;3.2;2.5;2.7;3;2.9;1.5;1.3;1.5;1.7;1.8;1.7;1.8;1.7;1.6;1.4;1.5;1.1;0.8;0.7
04.03.2021;1.1;1.4;1.9;2.2;2.1;1.8;1.7;1.4;1.3;1.3;1.4;1.4;1.6;1.5;1.3;1.3;1;1.1;1;1.3;1.3;1.1;0.6;0.2
05.03.2021;0.4;-0.1;-0.4;-0.6;-0.5;-0.5;-1;-0.6;-0.4;-2.5;-1.6;-1.9;-0.7;-1.3;-1.1;-1.9;-0.7;-0.1;-1.4;-0.9;-1;-0.5;-0.4;-0.5
06.03.2021;-0.7;-1;-0.9;-0.5;-0.4;-0.1;0.1;0.6;1.1;1.6;2;2;2.1;2.1;2.1;2.3;2.3;2.3;2.2;2.7;2.6;2.7;2.7;2.8
07.03.2021;3.2;3.1;-0.1;-0.1;0.6;1.8;1.4;0.9;0.9;1.1;1.2;0.9;0.9;1;0.2;0.2;-0.4;-0.1;-0.4;-1.4;-0.4;-0.5;0;-0.9
08.03.2021;-0.8;-1.2;-1.2;-1.2;-1.6;-1.6;-1.6;-1.7;-1.8;-2.5;-2.1;-1.8;-1.4;-0.8;-1.1;-1.1;-1;-1.2;-1.3;-1.2;-1.3;-1.5;-2.9;-4.1
09.03.2021;-4.7;-4.6;-4.2;-3.8;-3.6;-2.7;0.2;0.4;0.7;1.2;1.4;1.9;1.8;1.8;1.8;1.8;1.7;1.8;1.6;1.5;1.7;0;0.2;0.5
